#: table_doi: 10.17182/hepdata.44043.v1/t2
#: name: Table 2
#: description: Spin density matrix elements measured for 3 Q**2 values for the 1996 data sample.

#: data_file: Table2.yaml
#: keyword reactions: E+ P --> E+ RHO0 P
#: keyword observables: POL.RHO
#: keyword phrases: Exclusive | Polarization | Electron production
#: keyword cmenergies: 40.0-100.0
#: ABS(T) [GEV**2],,,0.0 TO 0.5
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,820.0
#: RE,,,E+ P --> E+ RHO0 P
#: SQRT(S) [GeV],,,40.0-100.0
#: W [GEV],,,40 TO 100
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,POL.RHO(ALPHA=04/MM=00),stat +,stat -,sys +,sys -
3.0,2.5,3.5,0.639,0.031,-0.031,0.013,-0.01
4.75,3.5,6.0,0.695,0.031,-0.031,0.019,-0.018
33.0,6.0,60.0,0.748,0.033,-0.033,0.037,-0.011

#: ABS(T) [GEV**2],,,0.0 TO 0.5
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,820.0
#: RE,,,E+ P --> E+ RHO0 P
#: SQRT(S) [GeV],,,40.0-100.0
#: W [GEV],,,40 TO 100
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,RE(POL.RHO(ALPHA=04/MM=10)),stat +,stat -,sys +,sys -
3.0,2.5,3.5,0.018,0.02,-0.02,0.004,-0.004
4.75,3.5,6.0,-0.019,0.02,-0.02,0.009,-0.003
33.0,6.0,60.0,0.036,0.022,-0.022,0.006,-0.012

#: ABS(T) [GEV**2],,,0.0 TO 0.5
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,820.0
#: RE,,,E+ P --> E+ RHO0 P
#: SQRT(S) [GeV],,,40.0-100.0
#: W [GEV],,,40 TO 100
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,POL.RHO(ALPHA=04/MM=1-1),stat +,stat -,sys +,sys -
3.0,2.5,3.5,-0.02,0.023,-0.023,0.002,-0.003
4.75,3.5,6.0,-0.02,0.022,-0.022,0.008,-0.001
33.0,6.0,60.0,0.016,0.023,-0.023,0.003,-0.012

#: ABS(T) [GEV**2],,,0.0 TO 0.5
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,820.0
#: RE,,,E+ P --> E+ RHO0 P
#: SQRT(S) [GeV],,,40.0-100.0
#: W [GEV],,,40 TO 100
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,POL.RHO(ALPHA=1/MM=00),stat +,stat -,sys +,sys -
3.0,2.5,3.5,-0.011,0.081,-0.081,0.013,-0.022
4.75,3.5,6.0,-0.085,0.082,-0.082,0.021,-0.013
33.0,6.0,60.0,-0.078,0.092,-0.092,0.024,-0.002

#: ABS(T) [GEV**2],,,0.0 TO 0.5
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,820.0
#: RE,,,E+ P --> E+ RHO0 P
#: SQRT(S) [GeV],,,40.0-100.0
#: W [GEV],,,40 TO 100
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,POL.RHO(ALPHA=1/MM=11),stat +,stat -,sys +,sys -
3.0,2.5,3.5,-0.019,0.057,-0.057,0.016,-0.003
4.75,3.5,6.0,0.021,0.057,-0.057,0.001,-0.006
33.0,6.0,60.0,0.01,0.063,-0.063,0.001,-0.009

#: ABS(T) [GEV**2],,,0.0 TO 0.5
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,820.0
#: RE,,,E+ P --> E+ RHO0 P
#: SQRT(S) [GeV],,,40.0-100.0
#: W [GEV],,,40 TO 100
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,RE(POL.RHO(ALPHA=1/MM=10)),stat +,stat -,sys +,sys -
3.0,2.5,3.5,0.003,0.028,-0.028,0.016,-0.003
4.75,3.5,6.0,-0.022,0.028,-0.028,0.015,-0.016
33.0,6.0,60.0,-0.042,0.03,-0.03,0.005,-0.007

#: ABS(T) [GEV**2],,,0.0 TO 0.5
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,820.0
#: RE,,,E+ P --> E+ RHO0 P
#: SQRT(S) [GeV],,,40.0-100.0
#: W [GEV],,,40 TO 100
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,POL.RHO(ALPHA=1/MM=1-1),stat +,stat -,sys +,sys -
3.0,2.5,3.5,0.147,0.032,-0.032,0.013,-0.007
4.75,3.5,6.0,0.103,0.031,-0.031,0.003,-0.005
33.0,6.0,60.0,0.081,0.031,-0.031,0.01,-0.013

#: ABS(T) [GEV**2],,,0.0 TO 0.5
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,820.0
#: RE,,,E+ P --> E+ RHO0 P
#: SQRT(S) [GeV],,,40.0-100.0
#: W [GEV],,,40 TO 100
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,IM(POL.RHO(ALPHA=2/MM=10)),stat +,stat -,sys +,sys -
3.0,2.5,3.5,0.006,0.028,-0.028,0.008,-0.004
4.75,3.5,6.0,0.049,0.028,-0.028,0.015,-0.015
33.0,6.0,60.0,0.007,0.03,-0.03,0.005,-0.011

#: ABS(T) [GEV**2],,,0.0 TO 0.5
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,820.0
#: RE,,,E+ P --> E+ RHO0 P
#: SQRT(S) [GeV],,,40.0-100.0
#: W [GEV],,,40 TO 100
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,IM(POL.RHO(ALPHA=2/MM=1-1),stat +,stat -,sys +,sys -
3.0,2.5,3.5,-0.156,0.032,-0.032,0.014,-0.01
4.75,3.5,6.0,-0.098,0.031,-0.031,0.018,-0.007
33.0,6.0,60.0,-0.067,0.032,-0.032,0.007,-0.025

#: ABS(T) [GEV**2],,,0.0 TO 0.5
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,820.0
#: RE,,,E+ P --> E+ RHO0 P
#: SQRT(S) [GeV],,,40.0-100.0
#: W [GEV],,,40 TO 100
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,POL.RHO(ALPHA=5/MM=00),stat +,stat -,sys +,sys -
3.0,2.5,3.5,0.099,0.04,-0.04,0.016,-0.002
4.75,3.5,6.0,0.081,0.041,-0.041,0.009,-0.013
33.0,6.0,60.0,0.107,0.047,-0.047,0.015,-0.004

#: ABS(T) [GEV**2],,,0.0 TO 0.5
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,820.0
#: RE,,,E+ P --> E+ RHO0 P
#: SQRT(S) [GeV],,,40.0-100.0
#: W [GEV],,,40 TO 100
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,POL.RHO(ALPHA=5/MM=11),stat +,stat -,sys +,sys -
3.0,2.5,3.5,0.002,0.029,-0.029,0.002,-0.007
4.75,3.5,6.0,0.005,0.029,-0.029,0.006,-0.006
33.0,6.0,60.0,0.014,0.032,-0.032,0.006,-0.012

#: ABS(T) [GEV**2],,,0.0 TO 0.5
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,820.0
#: RE,,,E+ P --> E+ RHO0 P
#: SQRT(S) [GeV],,,40.0-100.0
#: W [GEV],,,40 TO 100
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,RE(POL.RHO(ALPHA=5/MM=10)),stat +,stat -,sys +,sys -
3.0,2.5,3.5,0.149,0.013,-0.013,0.002,-0.002
4.75,3.5,6.0,0.142,0.013,-0.013,0.003,-0.002
33.0,6.0,60.0,0.133,0.014,-0.014,0.003,-0.004

#: ABS(T) [GEV**2],,,0.0 TO 0.5
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,820.0
#: RE,,,E+ P --> E+ RHO0 P
#: SQRT(S) [GeV],,,40.0-100.0
#: W [GEV],,,40 TO 100
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,POL.RHO(ALPHA=5/MM=1-1),stat +,stat -,sys +,sys -
3.0,2.5,3.5,-0.019,0.016,-0.016,0.005,-0.001
4.75,3.5,6.0,0.004,0.016,-0.016,0.006,-0.006
33.0,6.0,60.0,0.003,0.016,-0.016,0.004,-0.01

#: ABS(T) [GEV**2],,,0.0 TO 0.5
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,820.0
#: RE,,,E+ P --> E+ RHO0 P
#: SQRT(S) [GeV],,,40.0-100.0
#: W [GEV],,,40 TO 100
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,IM(POL.RHO(ALPHA=6/MM=10)),stat +,stat -,sys +,sys -
3.0,2.5,3.5,-0.124,0.013,-0.013,0.001,-0.001
4.75,3.5,6.0,-0.146,0.013,-0.013,0.004,-0.005
