#: table_doi: 10.17182/hepdata.44043.v1/t12
#: name: Table 12
#: description: Cross section for exclusive photoproduction of RHO0 as a function of W for different Q**2 values.

#: data_file: Table12.yaml
#: keyword reactions: GAMMA P --> RHO0 P | GAMMA* P --> RHO0 P
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Photoproduction
#: keyword cmenergies: 0.0
#: Q**2 [GeV^2],4.8
#: RE,GAMMA* P --> RHO0 P
#: SQRT(S) [GeV],0.0
M(P=1_2) [GEV],SIG [NB],stat +,stat -,sys +,sys -
40.0,125.0,13.0,-13.0,11.0,-11.0
60.0,137.0,16.0,-16.0,12.0,-10.0
80.0,160.0,19.0,-19.0,16.0,-15.0
100.0,168.0,21.0,-21.0,15.0,-14.0

