#: table_doi: 10.17182/hepdata.44043.v1/t14
#: name: Table 14
#: description: Cross section for exclusive photoproduction of RHO0 as a function of W for different Q**2 values.

#: data_file: Table14.yaml
#: keyword reactions: GAMMA P --> RHO0 P | GAMMA* P --> RHO0 P
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Photoproduction
#: keyword cmenergies: 0.0
#: Q**2 [GeV^2],10.9
#: RE,GAMMA* P --> RHO0 P
#: SQRT(S) [GeV],0.0
M(P=1_2) [GEV],SIG [NB],stat +,stat -,sys +,sys -
50.0,17.9,3.5,-3.5,1.7,-1.9
70.0,34.6,5.7,-5.7,3.7,-2.2
90.0,38.9,7.1,-7.1,3.0,-3.2
110.0,30.1,6.8,-6.8,2.4,-2.0
130.0,42.5,9.7,-9.7,3.5,-2.4

