#: table_doi: 10.17182/hepdata.44043.v1/t13
#: name: Table 13
#: description: Cross section for exclusive photoproduction of RHO0 as a function of W for different Q**2 values.

#: data_file: Table13.yaml
#: keyword reactions: GAMMA P --> RHO0 P | GAMMA* P --> RHO0 P
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Photoproduction
#: keyword cmenergies: 0.0
#: Q**2 [GeV^2],7.2
#: RE,GAMMA* P --> RHO0 P
#: SQRT(S) [GeV],0.0
M(P=1_2) [GEV],SIG [NB],stat +,stat -,sys +,sys -
50.0,60.3,7.9,-7.9,5.5,-3.9
70.0,76.2,10.8,-10.8,8.9,-5.7
90.0,96.7,14.3,-14.3,12.2,-6.2
110.0,94.7,15.0,-15.0,8.4,-6.1
130.0,76.9,18.8,-18.8,11.8,-6.8

