#: table_doi: 10.17182/hepdata.44043.v1/t10
#: name: Table 10
#: description: Cross section for exclusive photoproduction of RHO0 as a function of W for different Q**2 values.

#: data_file: Table10.yaml
#: keyword reactions: GAMMA P --> RHO0 P | GAMMA* P --> RHO0 P
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Photoproduction
#: keyword cmenergies: 0.0
#: Q**2 [GeV^2],2.0
#: RE,GAMMA* P --> RHO0 P
#: SQRT(S) [GeV],0.0
M(P=1_2) [GEV],SIG [NB],stat +,stat -,sys +,sys -
49.0,718.0,85.0,-85.0,92.0,-92.0
65.0,991.0,118.0,-118.0,128.0,-128.0
86.0,1025.0,117.0,-117.0,133.0,-133.0
116.0,1002.0,118.0,-118.0,129.0,-129.0

